ModuleId,Name_CN,Category,SubType,Rarity,FuncTags,ShapeTags,StyleTags,ConsumeKind,WindowSeconds,MaxStacks,EffectRole,Threshold,Cooldown,Interval,BaseDamage,DamageScaling,AoeRadius,Element,ModifierValue,UniTrigType,UniEffType,DropSource,UnlockCond,Desc_CN
T_低血量,T_低血量,0,9,0,2,0,0,0,5,3,0,1,5,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,生命低于30%时持续触发
T_击杀后,T_击杀后,0,13,0,1,0,0,0,5,3,0,1,1,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,击杀敌人后触发
T_受击时,T_受击时,0,7,0,2,0,0,0,5,3,0,1,4,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,受到伤害时触发
T_引爆,种子引爆,0,16,2,1,0,1,0,5,3,1,1,3,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,有种子就绪 → 引爆全部
T_暴击后,T_暴击后,0,3,0,1,0,0,2,5,3,0,1,3,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,暴击命中后触发
T_每3秒,T_每3秒,0,10,0,0,0,0,0,5,3,0,1,0,3,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,每3秒自动触发（快节奏）
T_每5秒,T_每5秒,0,10,0,0,0,0,0,5,3,0,1,0,5,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,每5秒自动触发
T_种子,种子生成,0,15,1,64,0,1,2,5,5,0,1,2,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,命中 → 种下种子（可被引爆）
T_移动10米,T_移动10米,0,6,0,8,0,0,1,5,3,0,1,1,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,累计移动10米后触发
T_背击,背击标记,0,17,1,1,0,2,0,5,3,0,1,4,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,背后命中 → 上膌增强
T_连击3次,T_连击3次,0,1,0,1,0,0,2,5,3,0,3,2,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,近战命中3次后触发
T_连击5次,T_连击5次,0,1,0,1,0,0,2,5,3,0,5,1.5,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,近战命中5次后触发（高频）
T_闪避后,T_闪避后,0,5,0,8,0,0,1,5,3,0,1,3,0,25,0.5,4,0,1.5,-1,-1,普通房,默认开放,闪避结束后触发
E_BingZhui,冰锥,1,2,1,1,0,64,0,5,3,1,1,2,5,25,0.5,4,2,1.5,-1,-1,普通房,默认开放,冰锥
