ModuleId,EffectType,EffectRole,BaseDamage,DamageScaling,AoeRadius,Element,HealAmount,HealScaling,ShieldAmount,BuffDuration,BuffDamageReduction,ProjectileSpeed,ProjectileCount,SpreadAngle,SlowPercent,StunDuration,KnockbackForce,DashDistance,PullRadius,DotDPS,DotDuration,InvincibleDuration,SummonDuration,SummonDamage,TrapDuration,VulnerableMultiplier,VulnerableDuration
E_BingZhui,2,1,25,0.5,4,2,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_HuoYu_Rain,1,1,25,0.5,4,1,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_JianSu,5,1,25,0.5,4,2,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_JingHua,11,0,25,0.5,4,9,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_JuDu,4,1,25,0.5,4,5,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_LuoShi,1,1,25,0.5,4,7,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_WuDi,12,0,25,0.5,4,0,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_XuanYun,6,1,25,0.5,4,3,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_YiShang,8,1,25,0.5,4,0,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_ZhenDangBo,7,1,25,0.5,4,4,20,0.3,30,5,0.3,15,1,0,0.5,1.5,8,5,6,8,4,1,10,10,8,1.5,3
E_冲击波,7,0,0,0.5,5,0,0,0,30,0,0,15,1,0,0.5,1.5,12,0,6,0,0,1,10,10,8,1.5,3
E_剑气,3,1,22,0.5,0,0,0,0,30,0,0,20,3,30,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
E_引力场,14,1,0,0.5,6,0,0,0,30,0,0,15,1,0,0.5,1.5,10,0,6,0,0,1,10,10,8,1.5,3
E_护盾,10,0,0,0.5,0,0,0,0,30,5,0.3,15,1,0,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
E_毒雾,4,1,0,0.5,3.5,7,0,0,30,0,0,15,1,0,0.5,1.5,0,0,6,8,4,1,10,10,8,1.5,3
E_治疗,9,0,0,0.5,0,0,25,0.3,30,0,0,15,1,0,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
E_突刺,13,1,15,0.5,0,0,0,0,30,0,0,15,1,0,0.5,1.5,0,6,6,0,0,1,10,10,8,1.5,3
E_范围爆炸,1,1,30,0.5,4,1,0,0,30,0,0,15,1,0,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
E_落雷,1,1,35,0.5,3,4,0,0,30,0,0,15,1,0,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
E_飞弹,2,1,18,0.5,0,0,0,0,30,0,0,18,1,0,0.5,1.5,0,0,6,0,0,1,10,10,8,1.5,3
