EnumName,IntValue,MemberName,UsedByColumn
ModuleCategory,0,Trigger,Category
ModuleCategory,1,Effect,Category
ModuleCategory,2,Modifier,Category
ModuleCategory,3,Universal,Category
ItemRarity,0,Fan,Rarity
ItemRarity,1,Ling,Rarity
ItemRarity,2,Xuan,Rarity
ItemRarity,3,Di,Rarity
ItemRarity,4,Tian,Rarity
ConsumeKind,0,Single,ConsumeKind
ConsumeKind,1,Window,ConsumeKind
ConsumeKind,2,Stacks,ConsumeKind
ConsumeKind,3,Auto,ConsumeKind
EffectRole,0,Enhancement,EffectRole
EffectRole,1,Addon,EffectRole
TriggerType,0,None,SubType(Category=0) / UniTrigType
TriggerType,1,MeleeHitCount,SubType(Category=0) / UniTrigType
TriggerType,2,SkillHitCount,SubType(Category=0) / UniTrigType
TriggerType,3,CriticalHit,SubType(Category=0) / UniTrigType
TriggerType,4,ComboFinisher,SubType(Category=0) / UniTrigType
TriggerType,5,DodgeFinish,SubType(Category=0) / UniTrigType
TriggerType,6,MoveDistance,SubType(Category=0) / UniTrigType
TriggerType,7,OnDamaged,SubType(Category=0) / UniTrigType
TriggerType,8,ShieldBreak,SubType(Category=0) / UniTrigType
TriggerType,9,LowHealth,SubType(Category=0) / UniTrigType
TriggerType,10,TimeInterval,SubType(Category=0) / UniTrigType
TriggerType,11,ChargeComplete,SubType(Category=0) / UniTrigType
TriggerType,12,RoomEnter,SubType(Category=0) / UniTrigType
TriggerType,13,EnemyKill,SubType(Category=0) / UniTrigType
TriggerType,14,EliteKill,SubType(Category=0) / UniTrigType
TriggerType,15,SeedPlant,SubType(Category=0) / UniTrigType
TriggerType,16,SeedDetonate,SubType(Category=0) / UniTrigType
TriggerType,17,BackstabMark,SubType(Category=0) / UniTrigType
TriggerType,18,PuppetCount,SubType(Category=0) / UniTrigType
EffectType,0,None,SubType(Category=1) / UniEffType
EffectType,1,AreaDamage,SubType(Category=1) / UniEffType
EffectType,2,Projectile,SubType(Category=1) / UniEffType
EffectType,3,SwordWave,SubType(Category=1) / UniEffType
EffectType,4,DoT,SubType(Category=1) / UniEffType
EffectType,5,Slow,SubType(Category=1) / UniEffType
EffectType,6,Stun,SubType(Category=1) / UniEffType
EffectType,7,Knockback,SubType(Category=1) / UniEffType
EffectType,8,MarkVulnerable,SubType(Category=1) / UniEffType
EffectType,9,Heal,SubType(Category=1) / UniEffType
EffectType,10,Shield,SubType(Category=1) / UniEffType
EffectType,11,Cleanse,SubType(Category=1) / UniEffType
EffectType,12,Invincible,SubType(Category=1) / UniEffType
EffectType,13,Dash,SubType(Category=1) / UniEffType
EffectType,14,Pull,SubType(Category=1) / UniEffType
EffectType,15,Teleport,SubType(Category=1) / UniEffType
EffectType,16,SummonPuppet,SubType(Category=1) / UniEffType
EffectType,17,SummonTurret,SubType(Category=1) / UniEffType
EffectType,18,PoisonPool,SubType(Category=1) / UniEffType
EffectType,19,Trap,SubType(Category=1) / UniEffType
EffectType,20,DetonateSeed,SubType(Category=1) / UniEffType
EffectType,21,RefreshStacks,SubType(Category=1) / UniEffType
