ModuleId,ModifierType,ModifierValue,BurnDPS,BurnDuration,FreezeDuration,LightningDamage,PoisonDPS,PoisonDuration,ExtraCount,CostHPPercent,CostDamageBonus
M_FuLei,14,1.5,5,3,2,15,4,5,1,0.1,0.5
M_HuanRaoSheJi,6,1,5,3,2,15,4,5,0,0.1,0.5
M_HuoHuan,2,1,5,3,2,15,4,5,1,0.1,0.5
M_HuoQiang,1,1,5,3,2,15,4,5,1,0.1,0.5
M_HuoYu,3,1,5,3,2,15,4,5,1,0.1,0.5
M_LianSuoTanShe,5,1,5,3,2,15,4,5,2,0.1,0.5
M_PoZhan,17,1.5,5,3,2,15,4,5,1,0.1,0.5
M_YanChiHongBao,10,1,5,3,2,15,4,5,1,0.1,0.5
M_YanLeng,23,1.5,5,3,2,15,4,5,1,0.1,0.5
M_YuJinDiDai,11,1,5,3,2,15,4,5,1,0.1,0.5
M_YuanSuo,4,1,5,3,2,15,4,5,1,0.1,0.5
M_以血换力,22,1,0,0,0,15,0,0,0,0.1,0.5
M_伤害强化,21,1.4,0,0,0,15,0,0,0,0,0
M_冰冻,13,1,0,0,2,15,0,0,0,0,0
M_击退,16,1,0,0,0,15,0,0,0,0,0
M_扩散,18,1.5,0,0,0,15,0,0,0,0,0
M_持续延长,20,1.8,0,0,0,15,0,0,0,0,0
M_毒蚀,15,1,0,0,0,15,4,5,0,0,0
M_灼烧,12,1,6,3,0,15,0,0,0,0,0
M_连锁,19,2,0,0,0,15,0,0,0,0,0
M_额外飞弹,8,1,0,0,0,15,0,0,2,0,0
