ModuleId,TriggerType,Threshold,Cooldown,Interval,ConsumeStacks,MoveDistanceThreshold,HealthThreshold,ConsumeKind,WindowSeconds,MaxStacks
T_低血量,9,1,5,0,1,10,0.3,0,5,3
T_击杀后,13,1,1,0,1,10,0.3,0,5,3
T_受击时,7,1,4,0,1,10,0.3,0,5,3
T_引爆,16,1,3,0,1,10,0.3,0,5,3
T_暴击后,3,1,3,0,1,10,0.3,2,5,3
T_每3秒,10,1,0,3,1,10,0.3,0,5,3
T_每5秒,10,1,0,5,1,10,0.3,0,5,3
T_种子,15,1,2,0,1,10,0.3,2,5,5
T_移动10米,6,1,1,0,1,10,0.3,1,5,3
T_背击,17,1,4,0,1,10,0.3,0,5,3
T_连击3次,1,3,2,0,1,10,0.3,2,5,3
T_连击5次,1,5,1.5,0,1,10,0.3,2,5,3
T_闪避后,5,1,3,0,1,10,0.3,1,5,3
