ConfigId,Name_CN,SkillType,Element,Rarity,BaseDamage,DamageScaling,Cooldown,CastSpeed,MaxCharges,ChargeTime,CanCharge,ChargeLv2Time,ChargeLv3Time,ChargeLv2DmgMul,ChargeLv3DmgMul,ChargeLv2RadMul,ChargeLv3RadMul,ChargeMoveMul,AoeRadius,ProjectileSpeed,ProjectileCount,SpreadAngle,DashDistance,LeaveTrail,HealAmount,HealScaling,SummonDuration,SummonDamage,SummonIsDecoy,BuffDuration,BuffAtkSpeedPct,BuffMoveSpeedPct,BuffAtkPct,BuffDamageReduction,FreezeOnHitChance,FreezeOnHitDuration,DamageFromRunTotal,RunTotalDamageRatio,DashInvulnerable,DashInvulnDuration,ArmLethalGuard,LethalGuardDuration,HeavenEarthShift,ZoneDuration,ZoneRadius,ZoneTickInterval,ZoneDamagePerTick,ZoneSlowPct,ZonePullSpeed,ZoneFollowPlayer,ZoneBurnDPS,PlayAnimation,VfxDuration
1,落石术,0,7,0,30,0.5,8,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
2,烈焰斩,0,1,1,30,0.5,4,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
3,御风诀,3,4,2,30,0.5,12,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,6,0.3,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
4,寒冰封印,0,2,3,20,0.5,8,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3.5,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,1,2,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
5,混沌吞噬,6,0,4,30,0.5,30,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,5,0.5,0.12,0,3,0,0,0,1.5
6,土遁术,2,7,0,15,0.3,10,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,1,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,1,3,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1
7,水镜术,5,6,1,30,0.5,12,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,3,10,1,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
8,缩地成寸,2,4,2,20,0.5,8,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,1,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
9,金蝉脱壳,3,0,3,30,0.5,60,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,0,0,0,0,0,0,1.5,0,0.1,0,0,1,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
10,御风术,3,4,1,30,0.5,15,1,1,0,0,0.5,1.5,1.5,2.5,1,1.3,0.4,3,12,1,0,8,0,30,0.3,8,10,0,5,0,0.5,0,0,0,1.5,0,0.1,0,0,0,0,0,5,0,0.5,0.15,0,0,0,0,0,1.5
