EventID,Name_CN,Type,PrereqFlag,Text_CN,Opt_Text,Opt_FlagName,Opt_FlagValue,Opt_RewardID,Opt_CostID,Opt_KarmaChange,Opt_DaoxinChange,Opt_LifespanChange
1001,叶修之死,1,,你击败了散修叶修，从他身上找到一颗风灵珠。他奄奄一息地望着你，眼神中既无怨恨，也无哀求——只是静静地等待着自己的命运。你该如何处置他？,取走风灵珠，吸收他残余的灵力,betrayed_yeXiu,1,2001,0,1,-5,0
1001,,,,,将他就地埋葬，立一块无字碑,saved_yeXiu,1,0,0,-1,10,0
1001,,,,,搜刮后扬长而去,ignored_yeXiu,1,2001,0,0,-2,0
1002,灵药宝库,3,saved_yeXiu=1,一位白发老者悄然现身，目光柔和：「我便是叶修的师父。多谢你善待我那不成器的弟子……这是他生前为我寻得的灵药，便由你带去吧。」,拜谢前辈赐药,elder_gift,1,3001,0,0,5,0
1003,古修遗宝,1,,一座古旧石台上躺着一颗散发金光的灵物——天品级的「九转还魂丹」。但你能感觉到，台子周围弥漫着一股诡异的气息，仿佛在汲取着接近者的什么……,以寿元换取（消耗 10 年寿元）,took_ancient_treasure,1,3001,0,0,0,-10
1003,,,,,放弃，转身离去,,0,0,0,0,3,0
1003,,,,,强行夺取（与守护者一战）,forced_treasure,1,3001,0,2,-5,0
2001,幽魂哀歌,1,,一道虚幻的身影挡住去路。它并不攻击你，只是反复喃喃着一个名字——然后你听清了：那是你的名字。它伸出手，指向身后的石碑，碑上刻满了密密麻麻的文字。,阅读石碑上的文字,read_ghost_tablet,1,0,0,0,5,0
2001,,,,,挥剑驱散幽魂,dispelled_ghost,1,0,0,1,-3,0
2001,,,,,转身绕路,avoided_ghost,1,0,0,0,0,0
2002,冥河渡口,1,,幽暗的河水在脚下流淌，一叶扁舟停靠在岸边。一位蒙面艄公站在舟上：「渡河者需付代价。血为筹码，命为舟资——你选哪一样？」,以血为筹——献祭 30% 当前生命值,blood_toll,1,0,0,0,-2,-5
2002,,,,,以命为资——消耗 15 年寿元,life_toll,1,0,0,0,0,-15
2002,,,,,强行渡河（触发战斗）,forced_crossing,1,0,0,2,-5,0
2003,亡者遗言,3,read_ghost_tablet=1,石碑上的文字渐渐浮现——那是一位前辈修士的遗言。他在此地困了千年，留下了一套残缺的功法图谱。最后一行写着：「若有缘人至此，愿将毕生所悟相赠。但切记——万事皆有代价。」,接受功法传承（获得临时增益）,accepted_legacy,1,4001,0,0,3,0
2003,,,,,拒绝传承（获得道心加成）,refused_legacy,1,0,0,-1,15,0
2004,灵魂交易,1,,一团飘忽不定的光芒凝聚成人形。它的声音沙哑而诱惑：「我能让你变得更强——只需要你一小部分……灵魂。交易结束后，你会觉得少了什么，但又说不上来。」,接受交易（攻击力+20%，道心-10）,soul_trade,1,5001,0,0,-10,0
2004,,,,,拒绝交易,refused_soul_trade,1,0,0,0,5,0
2004,,,,,反噬术——试图从它身上夺取力量,soul_counter,1,5001,0,1,-8,0
3001,龙骨祭坛,1,,一座由巨龙骨骸堆砌的祭坛屹立在炼狱峰中心。祭坛上方盘旋着灼热的灵力漩涡，似乎可以用来淬炼自身——但代价是将一部分自我燃烧殆尽。,以肉身为薪——献祭 40% 生命值换取永久攻击提升,dragon_sacrifice,1,6001,0,0,-5,-10
3001,,,,,以心火为引——消耗 20 道心换取临时全属性增益,heart_fire,1,6002,0,0,-20,0
3001,,,,,默然离去,left_altar,1,0,0,0,2,0
3002,天火试炼,1,,一道天火从虚空中劈下，将去路阻断。火焰中隐约可见一个符文——破解它或许能让天火为你所用，但失败的代价是遍体鳞伤。,尝试破解符文（考验运气：60%成功）,fire_trial,1,6003,0,0,0,0
3002,,,,,以寿元强行压制天火（消耗 20 年）,suppress_fire,1,6003,0,0,0,-20
3002,,,,,绕远路避开,bypass_fire,1,0,0,0,0,0
3003,龙血觉醒,3,dragon_sacrifice=1,祭坛的龙血在你体内翻涌——你感觉自己的血脉正在发生变化。一个低沉的龙吟回荡在脑海中：「汝以血肉为祭，龙骨铸心。自此——汝便是半龙之身。」,接受龙血觉醒（永久攻防各+15%）,dragon_awakened,1,7001,0,0,0,0
3003,,,,,压制龙血——维持人身（道心+15）,suppressed_dragon,1,0,0,0,15,0
3004,劫雷降世,1,,天穹中聚起一团漆黑的雷云——这是修仙者突破时必须面对的天劫。雷云中的威压让你几乎无法呼吸。你可以选择硬抗渡劫，或者借助周围的地形分散雷力。,硬抗天劫（高风险高收益）,endure_tribulation,1,7002,0,0,5,-15
3004,,,,,借地形分散雷力（稳妥方案）,redirect_tribulation,1,7003,0,0,2,0
3004,,,,,逃离劫云范围（保命优先）,flee_tribulation,1,0,0,0,-5,0
