ID,SceneName,RoomType,EnemySquadID,ItemDropIDs,ItemDropWeights,EventID,EventTriggerRate,Weight
1,Demo1,0,,,,,0,100
2,Demo1,1,1,2001,100,1001,25,100
3,Demo1,2,2,"2001;3001","80;20",0,0,100
4,Demo1,3,,,,0,0,100
5,Demo1,4,,,,1001,100,100
6,Demo1,5,,,,0,0,100
7,Act2_Battle,1,1,2001,100,2001,20,100
8,Act2_Elite,2,2,"2001;3001","70;30",0,0,100
9,Act2_Event1,4,,,,2001,100,50
10,Act2_Event2,4,,,,2002,100,50
11,Act2_Event3,4,,,,2004,100,40
12,Act2_Shop,3,,,,0,0,100
13,Act2_Boss,5,,,,0,0,100
14,Act3_Battle,1,1,2001,100,3001,15,100
15,Act3_Elite,2,2,"2001;3001","60;40",0,0,100
16,Act3_Event1,4,,,,3001,100,50
17,Act3_Event2,4,,,,3002,100,50
18,Act3_Event3,4,,,,3004,100,40
19,Act3_Shop,3,,,,0,0,100
20,Act3_Boss,5,,,,0,0,100
