ID,Name_CN,Desc_CN,Rarity,Type,BaseCooldown,BaseDamageRatio,IconPath
1,落石术,召唤巨石砸向目标区域造成范围伤害,1,1,5,15000,Skills/luoshi
2,烈焰斩,横扫前方造成火焰伤害,2,1,4,12000,Skills/lieyan
3,御风诀,短时间提升自身攻速,3,2,12,5000,Skills/yufeng
4,寒冰封印,冻结目标并减速,4,3,8,3000,Skills/bingfeng
5,混沌吞噬,制造黑洞，吸引并持续伤害范围内敌人，持续5秒,5,1,30,10000,
6,土遁术,钻入地下快速移动3秒，期间无敌,1,2,10,0,
7,水镜术,原地留下水镜分身，吸引敌人攻击3秒,2,2,12,0,
8,缩地成寸,瞬移至目标位置，沿途留下元素轨迹,3,2,8,0,
9,金蝉脱壳,受致命伤害时自动触发：留下爆炸替身，自身瞬移,4,2,60,0,
10,御风术,短暂飞行5秒，移速+50%，免疫地面陷阱,2,2,15,5000,
11,天罡北斗阵,以自身为中心布下剑阵，范围内敌人持续受伤+减速，8秒,3,1,30,10000,
12,九天玄火阵,全屏火雨，持续5秒，所有敌人持续灼烧,4,1,45,10000,
13,冥河召唤,召唤冥河淹没整个房间5秒，敌人持续受伤+大幅减速,4,1,45,10000,
14,轮回一击,蓄力3秒，释放毁灭性攻击，伤害=本局累计总伤害的10%,5,1,90,10000,
15,天地大挪移,10秒内，敌人投射物变为你的攻击，你的攻击变为治疗,5,2,60,5000,
16,一念刹那,触发剑心通明状态时，下一次造成一次特殊强力攻击；,5,4,0,20000,
17,枯荣逆旅,寄生种子最多可叠加至99层，且攻击时不会消耗层数，攻击时每层会多造成0.1%的伤害；主动释放可以引爆种子，每层可对当前目标造成X点伤害；,5,4,0,5000,
18,息影瞬步,释放后持续5秒，闪避不会有冷却时间，且闪避路径上的敌人受到伤害,5,4,30,10000,
19,兵阵合一,土甲傀儡最大数量增加至5个，主动释放时土傀儡进入远程炮击模式，土傀儡无法进行移动，但攻击范围增加且变为AOE伤害，再次释放变为原版土傀儡；,5,4,1,12000,
20,焚天·业火燎原,点燃自身进入业火加身：持续时间随当前怒气增长；期间普攻化为烈焰横扫、攻击附带强力灼烧、攻速大增；状态结束时引爆全场灼烧造成范围爆发；,5,4,40,18000,
